policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
4348,LV,Passenger car,Regular,77,1910,Gaiši peleka,2011,2,VOLKSWAGEN,JETTA,Diesel,1,0,142.29,42.69,262.7,12430,1,2013
4349,LV,Passenger car,Regular,77,1910,Gaiši peleka,2011,1,VOLKSWAGEN,JETTA,Diesel,1,0,142.29,42.69,314.5,13850,1,2012
4350,LV,Passenger car,Regular,77,1910,Gaiši peleka,2011,3,VOLKSWAGEN,JETTA,Diesel,0,1,140,40,229.6,15800,0.701369863,2014
4351,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,15930,0.290410959,2012
4352,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,16530,0.290410959,2012
4353,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,17730,0.290410959,2012
4354,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,17530,0.290410959,2012
4355,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,16330,0.290410959,2012
4356,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,17130,0.290410959,2012
4357,LV,Passenger car,Regular,77,1910,Balta,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,284.57,42.69,96.5,17330,0.290410959,2012
4358,LV,Passenger car,Regular,77,1910,Bruna,2012,2,VOLKSWAGEN,JETTA,Diesel,1,0,140,40,363,11500,1,2014
4359,LV,Passenger car,Regular,77,1910,Bruna,2012,1,VOLKSWAGEN,JETTA,Diesel,1,1,142.29,42.69,487.3,21030,1,2013
4360,LV,Passenger car,Regular,77,1910,Gaiši peleka,2012,1,VOLKSWAGEN,JETTA,Diesel,1,1,142.29,42.69,187.7,14430,0.942465753,2013
4361,LV,Passenger car,Regular,77,1910,Gaiši peleka,2012,0,VOLKSWAGEN,JETTA,Diesel,0,1,213.43,71.14,317.2,17990,0.989041096,2012
4362,LV,Passenger car,Regular,77,1910,Gaiši peleka,2012,1,VOLKSWAGEN,JETTA,Diesel,1,1,142.29,42.69,546.1,19300,0.698630137,2013
4363,LV,Passenger car,Regular,77,1910,Gaiši peleka,2012,2,VOLKSWAGEN,JETTA,Diesel,1,1,140,40,429.1,16650,1,2014
4364,LV,Passenger car,Regular,77,1910,Gaiši peleka,2012,1,VOLKSWAGEN,JETTA,Diesel,1,1,142.29,42.69,538.1,18500,1,2013
4365,LV,Passenger car,Regular,77,1910,Tumši bruna,2012,2,VOLKSWAGEN,JETTA,Diesel,1,0,140,40,199,11890,1,2014
4366,LV,Passenger car,Regular,77,1965,Tumši zila,2012,1,SKODA,OCTAVIA,Diesel,1,1,142.29,71.14,161.3,20290,0.391780822,2013
4367,LV,Passenger car,Regular,77,1965,Tumši zila,2012,2,SKODA,OCTAVIA,Diesel,1,1,140,70,471.2,20600,1,2014
4368,LV,Passenger car,Regular,77,1965,Tumši zila,2012,2,SKODA,OCTAVIA,Diesel,1,1,140,70,479.2,14400,1,2014
4369,LV,Passenger car,Regular,77,1965,Tumši zila,2012,1,SKODA,OCTAVIA,Diesel,1,1,142.29,71.14,431.1,18280,1,2013
4370,LV,Passenger car,Regular,77,1965,Tumši zila,2012,2,SKODA,OCTAVIA,Diesel,1,1,140,70,479.2,14600,1,2014
4371,LV,Passenger car,Regular,77,1965,Tumši zila,2012,1,SKODA,OCTAVIA,Diesel,1,1,142.29,71.14,431.1,18480,1,2013
4372,LV,Passenger car,Regular,77,1965,Tumši zila,2012,1,SKODA,OCTAVIA,Diesel,0,1,142.29,71.14,292,18810,1,2013
4373,LV,Passenger car,Regular,77,1965,Gaiši peleka,2013,1,SKODA,OCTAVIA,Diesel,0,0,140,70,85,11890,0.304109589,2014
4374,LV,Passenger car,Regular,77,1965,Tumši zila,2013,1,SKODA,OCTAVIA,Diesel,1,1,140,70,585,19230,1,2014
4375,LV,Passenger car,Regular,77,1965,Tumši zila,2013,0,SKODA,OCTAVIA,Diesel,0,1,142.29,71.14,368.2,19780,0.775342466,2013
4376,LV,Passenger car,Regular,77,1975,Gaiši zala,2010,2,SKODA,OCTAVIA,Diesel,1,1,140,70,288,16240,1,2012
4377,LV,Passenger car,Regular,77,1980,Gaiši peleka,2011,1,VOLKSWAGEN,GOLF,Diesel,1,0,142.29,42.69,58.3,14190,0.183561644,2012
4378,LV,Passenger car,Regular,77,1980,Gaiši peleka,2011,1,VOLKSWAGEN,GOLF,Diesel,1,0,142.29,42.69,41.3,14190,0.126027397,2012
4379,LV,Passenger car,Regular,77,1980,Melna,2011,3,VOLKSWAGEN,GOLF,Diesel,1,1,140,40,222,12280,1,2014
4380,LV,Passenger car,Regular,77,1980,Melna,2011,2,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,42.69,233.9,13750,1,2013
4381,LV,Passenger car,Regular,77,1980,Melna,2011,1,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,71.14,273.7,15390,1,2012
4382,LV,Passenger car,Regular,77,1980,Melna,2011,3,VOLKSWAGEN,GOLF,Diesel,1,1,140,40,222,12450,1,2014
4383,LV,Passenger car,Regular,77,1980,Melna,2011,2,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,42.69,233.9,13930,1,2013
4384,LV,Passenger car,Regular,77,1980,Melna,2011,1,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,71.14,273.7,15560,1,2012
4385,LV,Passenger car,Regular,77,1980,Melna,2011,3,VOLKSWAGEN,GOLF,Diesel,1,1,140,40,175.5,12650,0.775342466,2014
4386,LV,Passenger car,Regular,77,1980,Melna,2011,2,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,42.69,233.9,14130,1,2013
4387,LV,Passenger car,Regular,77,1980,Melna,2011,1,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,71.14,273.7,15760,1,2012
4388,LV,Passenger car,Regular,77,1980,Melna,2012,2,VOLKSWAGEN,GOLF,Diesel,1,1,140,40,231,14650,1,2014
4389,LV,Passenger car,Regular,77,1980,Melna,2012,1,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,42.69,243.9,16310,1,2013
4390,LV,Passenger car,Regular,77,1980,Melna,2012,0,VOLKSWAGEN,GOLF,Diesel,1,1,142.29,71.14,296.5,20430,1,2012
4391,LV,Passenger car,Regular,81,1670,Tumši peleka,2006,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,170.1,6400,1,2013
4392,LV,Passenger car,Regular,81,1670,Tumši peleka,2006,6,TOYOTA,COROLLA,Benzine,1,1,142.29,71.14,221.4,6700,1,2012
4393,LV,Passenger car,Regular,81,1670,Tumši peleka,2006,8,TOYOTA,COROLLA,Benzine,0,0,140,70,177,4600,1,2014
4394,LV,Passenger car,Regular,81,1670,Gaiši peleka,2007,7,TOYOTA,COROLLA,Benzine,1,0,140,70,232,7840,1,2014
4395,LV,Passenger car,Regular,81,1670,Gaiši peleka,2007,6,TOYOTA,COROLLA,Benzine,1,1,142.29,71.14,262.9,8180,1,2013
4396,LV,Passenger car,Regular,81,1670,Gaiši peleka,2007,5,TOYOTA,COROLLA,Benzine,1,1,142.29,71.14,274.3,8630,1.002739726,2012
4397,LV,Passenger car,Regular,81,1670,Tumši zila,2007,7,TOYOTA,COROLLA,Benzine,1,1,140,70,138,7600,0.504109589,2014
4398,LV,Passenger car,Regular,81,1730,Gaiši dzeltena,2002,12,TOYOTA,AVENSIS,Benzine,1,0,140,70,121.7,2680,0.854794521,2014
4399,LV,Passenger car,Regular,81,1730,Gaiši dzeltena,2002,11,TOYOTA,AVENSIS,Benzine,1,0,142.29,71.14,156.7,3060,1,2013
